,,,
,,,
condition,participant_id,Count of user_answer,Sum of is_correct
gain,P-08181256-2291-4bdf-9b08-e656799b0ff8,13,8
,P-1620cbb1-d740-4c48-98fc-cffb003b0a37,12,12
,P-459b8e5e-f2c8-426e-ae02-e86e1475a100,17,16
,P-65b306ef-0adf-4bb0-94f9-8c89766db8ff,16,16
,P-85b5daa4-6a21-49b3-9f5b-bf4ccc3ed222,9,6
,P-94f28a47-99d6-45a1-a8c6-0837125699f8,15,12
,P-a37d6538-6106-409a-9c1b-336f25557531,23,21
,P-bf1cb694-54fc-471c-9a6c-9a53e40f2132,17,17
,P-c791b1cc-efa5-4f1e-9009-d05f71f8efa7,14,13
,P-e33059f4-e338-4fed-b89b-4e82c4ebb16f,13,8
,P-f73e0ada-40cf-4ad5-b34e-b49b41d4754c,19,18
,P-fe09c047-5322-4a45-b0cc-83a06b671991,17,16
gain Total,,185,163
loss,P-0026314f-3842-4a6a-802b-07132376a9ba,12,10
,P-3ad812f2-0673-4185-bc5c-cb3c5a1d3d6f,22,22
,P-409fdace-088e-4d3c-8374-ffa810edb1fa,22,20
,P-59f70648-799e-4a5c-b308-fa8570ccebcd,21,20
,P-5cc5250c-4429-4ea3-b4a1-f68238a85391,19,19
,P-658a8f20-3a14-43e7-b109-823357af7259,15,13
,P-6dacdf92-31fc-4c31-b889-dbeb8f90c22e,15,10
,P-8ac805b1-28d4-47d6-a13f-329469e4e479,10,9
,P-a5b2619a-d936-42a3-a20c-de2fbe90d012,30,29
,P-ac324a1a-4cf9-4e43-96ea-e6eddf777b9a,11,7
,P-ad5d3153-a486-4f3c-a868-35c3af285c08,14,11
,P-c97d184a-fcb7-4861-8ed2-7e848f1a0f3c,20,17
loss Total,,247,221
Grand Total,,432,384